,active,age,birth_city,birth_country,birth_date,birth_state,college,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,news_updated,number,player_id,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,team,weight,yahoo_id,years_exp
608,True,31,,,1988-06-08,,Kentucky,1,NT,13292,11437,['DL'],Corey,Corey Peters,00-0027686,#CoreyPeters-NFL-ARI-98,"6'3""",,,,,,Peters,1572027037724,98,608,NT,,,6682,5886,corey,coreypeters,peters,1594,nfl,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,,Active,ARI,300,24058,9
3925,True,26,,,1993-07-28,,Houston,,,2573308,18754,['DB'],Lee,Lee Hightower,,#LeeHightower-NFL-FA-39,"6'2""",,,,,Out,Hightower,,39,3925,FS,,,11626,,lee,leehightower,hightower,9999999,nfl,2ac6848d-1482-4a1b-b4ee-886ccaef270d,,Inactive,,192,30053,3
3396,True,27,,,1992-10-16,,Clemson,12,RWR,2576498,18157,['WR'],Charone,Charone Peake,00-0032959,#CharonePeake-NFL-FA-17,"6'2""",,,,,,Peake,1575417658146,17,3396,WR,,,11001,11410,charone,charonepeake,peake,521,nfl,58ea6518-6fb7-4e5a-a586-7202d4c5f07e,602104,Inactive,,209,29475,3
3956,False,,,,,,None,,,2574518,18789,,Kelvin,Kelvin Fisher Jr,,#KelvinFisherJr-NFL-FA-8,"5'11""",,,,,,Fisher Jr,,8,3956,,,,,,kelvin,kelvinfisherjr,fisherjr,9999999,nfl,,,Inactive,,200,,0
6343,True,24,,,1995-11-05,,Arizona State,3,QB,3128814,21260,['QB'],Manny,Manny Wilkins, 00-0035077,#MannyWilkins-NFL-GB-18,"6'1""",,,,,,Wilkins,1565982946958,18,6343,QB,,,13968,,manny,mannywilkins,wilkins,9999999,nfl,941662f4-da41-48cf-a663-cfbd011491bb,820627,Practice Squad,GB,202,32282,0
3199,True,26,,,1993-03-03,,Ohio State,1,LWR,2976316,17960,['WR'],Michael,Michael Thomas,00-0032765,#MichaelThomas-NFL-NO-13,"6'3""",,,,,,Thomas,1577055901751,13,3199,WR,,,10759,11222,michael,michaelthomas,thomas,13,nfl,90c1756d-1f47-41b7-89fe-b113c9850bc1,653699,Active,NO,212,29281,3
1850,False,26,,,1990-09-25,,Clemson,,,16812,16058,['QB'],Tajh,Tajh Boyd,,#TajhBoyd-NFL-FA-3,"6'1""",,,,,,Boyd,,3,1850,QB,,,,,tajh,tajhboyd,boyd,9999999,nfl,75404d15-88d6-43e0-9258-27112b070a43,506599,Inactive,,222,,1
6487,True,23,,,1996-05-03,,Delaware,4,TE,3127376,21275,['TE'],Charles,Charles Scarff, 00-0035119,#CharlesScarff-NFL-BAL-85,"6'6""",,,,,,Scarff,,85,6487,TE,,,14120,,charles,charlesscarff,scarff,9999999,nfl,0c49b066-56ef-42dd-b9f1-1e956cced841,838249,Practice Squad,BAL,269,32314,0
2355,True,25,,,1994-01-02,,Florida State,1,LCB,2969920,16811,['DB'],Ronald,Ronald Darby,00-0032195,#RonaldDarby-NFL-PHI-21,"5'11""",,Hip Flexor,"Darby left the previous game with hip flexor injury, and he will not be available Week 17 versus the Giants.",2019-12-23,Probable,Darby,1577129106997,21,2355,CB,,,10408,10375,ronald,ronalddarby,darby,1336,nfl,c63eb787-fa1f-406b-82a1-2eed0a65b58c,,Active,PHI,194,28438,4
257,False,32,,,1985-07-27,,Washington State,,,11910,6411,['DB'],Husain,Husain Abdullah,,#HusainAbdullah-NFL-FA-39,"6'0""",,,,,,Abdullah,,39,257,FS,,,6297,5026,husain,husainabdullah,abdullah,9999999,nfl,1c4cf2d1-5bcf-457a-9f5b-34e4949edfcd,,Inactive,,204,9063,7
2817,False,29,,,1988-01-08,,Clemson,,,2983134,17285,['WR'],Daniel,Daniel Rodriguez,,#DanielRodriguez-NFL-FA-3,"5'8""",,,,,,Rodriguez,,3,2817,WR,,,,,daniel,danielrodriguez,rodriguez,9999999,nfl,fa1ac661-9b71-4dbd-8321-f3c6a7ec79e6,700055,Inactive,,180,29089,0
1952,True,27,,,1992-05-30,,Vanderbilt,,,17467,16203,['DB'],Andre,Andre Hal,00-0031087,#AndreHal-NFL-FA-29,"5'10""",,,,,,Hal,1554248138033,29,1952,FS,,,9676,9628,andre,andrehal,hal,9999999,nfl,513caa63-d30d-4cde-b605-8cf825a4ef27,555644,Inactive,,188,27744,5
3210,True,27,,,1992-09-29,,Ohio State,9,QB,2976299,17971,['QB'],Cardale,Cardale Jones,00-0033098,#CardaleJones-NFL-FA-10,"6'5""",,,,,,Jones,1568835621332,10,3210,QB,,,11007,10325,cardale,cardalejones,jones,693,nfl,92c02ef1-8400-4f5a-9420-6458755e14d4,653682,Inactive,,253,29373,3
4148,True,24,,,1995-06-29,,Auburn,2,RDE,3051911,18994,"['LB', 'DL']",Carl,Carl Lawson,00-0033463,#CarlLawson-NFL-CIN-58,"6'2""",,,,,,Lawson,1574211951206,58,4148,DE,,,11926,12240,carl,carllawson,lawson,1573,nfl,e75ed538-1888-4864-bd1d-e703d1ce4b5b,,Active,CIN,261,30229,2
5781,True,23,,,1996-01-30,,Illinois,2,LWR,3115928,20684,['WR'],Malik,Malik Turner,00-0034867,#MalikTurner-NFL-SEA-17,"6'3""",,,,,,Turner,1577147458739,17,5781,WR,,,13378,13906,malik,malikturner,turner,616,nfl,82a7e1ff-019a-4f4b-aeb6-c41420e44891,830686,Active,SEA,205,31777,1
4888,False,,,,,,,,,,19786,,Mark,Mark Helfrich,,#MarkHelfrich-NFL-FA-0,,,,,,,Helfrich,,0,4888,,,,,13066,mark,markhelfrich,helfrich,9999999,nfl,,,Inactive,,,,0
1746,False,31,,,1986-01-13,,Utah,,,15704,15736,['DL'],Tevita,Tevita Finau,,#TevitaFinau-NFL-FA-92,"6'4""",,,,,,Finau,,92,1746,DE,,,,,tevita,tevitafinau,finau,9999999,nfl,d65f9afe-1001-4c56-9b0e-957250f79316,,Inactive,,283,26139,1
3124,False,,,,,,,,,,17878,,Ray,Ray Horton,,#RayHorton-NFL-FA-0,,,,,,,Horton,,0,3124,,,,,9300,ray,rayhorton,horton,9999999,nfl,,,Inactive,,,,0
2041,False,27,,,1991-03-31,,West Texas A&M,,,16962,16333,['WR'],Torrence,Torrence Allen,,#TorrenceAllen-NFL-FA-83,"6'0""",,,,,,Allen,,83,2041,WR,,,10061,,torrence,torrenceallen,allen,9999999,nfl,ec251689-808b-4f35-b1f7-743d4a37722a,794253,Inactive,,190,27844,2
2286,False,26,,,1991-06-23,,Washington State,,,17492,16719,['K'],Andrew,Andrew Furney,,#AndrewFurney-NFL-FA-8,"5'10""",,,,,,Furney,,8,2286,K,,,,,andrew,andrewfurney,furney,9999999,nfl,4b482230-621c-4b7f-8d5d-cf50da82e7c4,560191,Inactive,,215,,1
4211,True,27,,,1992-08-20,,West Georgia,2,LOLB,2584628,19057,['LB'],Dylan,Dylan Donahue,00-0033961,#DylanDonahue-NFL-FA-49,"6'3""",,,,,,Donahue,1544580937621,49,4211,OLB,,,11912,,dylan,dylandonahue,donahue,9999999,nfl,139d8533-cbd7-4a41-9567-f1ce1c641311,,Inactive,,241,30294,2
WAS,True,,,,,,,,,,,['DEF'],Washington,,,,,,,,,,Redskins,,,WAS,DEF,,,,,,,,,nfl,,,,WAS,,,
1294,False,28,,,1989-06-10,,Alabama,,,15039,14760,['DL'],Josh,Josh Chapman,,#JoshChapman-NFL-FA-96,"6'1""",,,,,,Chapman,,96,1294,NT,,,,,josh,joshchapman,chapman,9999999,nfl,2f0190fc-16ce-486c-bcb5-f752ed345275,,Inactive,,316,25846,4
2050,True,28,,,1991-05-07,,Buffalo,,,17452,16345,['RB'],Branden,Branden Oliver,00-0031277,#BrandenOliver-NFL-FA-40,"5'6""",,,,,,Oliver,1535844652782,40,2050,RB,,,9550,10198,branden,brandenoliver,oliver,9999999,nfl,7dac43ce-3a74-4033-b63f-bf9171a24a55,506492,Inactive,,208,28272,5
256,False,40,,,1977-01-20,,Washington State,,,,6410,['K'],Rian,Rian Lindell,,#RianLindell-NFL-FA-4,"6'3""",,,,,,Lindell,,4,256,K,,,,,rian,rianlindell,lindell,9999999,nfl,,,Inactive,,233,,14
1216,True,29,,,1990-06-17,,Presbyterian - SC,3,LCB,15089,14469,['DB'],Justin,Justin Bethel,00-0029530,#JustinBethel-NFL-NE-29,"6'0""",,,,,,Bethel,1571790322307,29,1216,CB,,,8306,7622,justin,justinbethel,bethel,1889,nfl,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,461022,Active,NE,200,25887,7
3126,False,,,,,,,,,,17880,,Terry,Terry Robiskie,,#TerryRobiskie-NFL-FA-0,,,,,,,Robiskie,,0,3126,,,,,11241,terry,terryrobiskie,robiskie,9999999,nfl,,,Inactive,,,,0
1154,False,29,,,1988-04-09,,Oklahoma,,,14919,14203,['WR'],Ryan,Ryan Broyles,,#RyanBroyles-NFL-FA-84,"5'10""",,,,,,Broyles,,84,1154,WR,,,,,ryan,ryanbroyles,broyles,9999999,nfl,a84c6342-3333-4af7-bf29-ea954e156835,381163,Inactive,,188,25764,4
4981,True,25,,,1994-12-20,,Alabama,2,SWR,3925357,19802,['WR'],Calvin,Calvin Ridley,00-0034837,#CalvinRidley-NFL-ATL-18,"6'0""",,Abdominal,Ridley has been added to the injured reserve list with a lower-abdominal injury.,2019-12-10,IR,Ridley,1576014346457,18,4981,WR,,,12616,13137,calvin,calvinridley,ridley,59,nfl,926e2674-52d6-4cec-9991-46ee85cc8cfd,884013,Injured Reserve,ATL,189,30996,1
4440,True,26,,,1993-12-16,,Texas,,,2971696,19301,['DL'],Paul,Paul Boyette Jr.,,#PaulBoyetteJr-NFL-FA-91,"6'4""",,,,,,Boyette Jr.,1534639807758,91,4440,DE,,,12047,,paul,paulboyettejr,boyettejr,9999999,nfl,4e200230-c115-46ac-a560-da77f9001567,,Inactive,,300,30624,2
4614,True,26,,,1993-06-16,,Iowa,,,2988624,19504,['WR'],Riley,Riley McCarron,00-0033773,#RileyMcCarron-NFL-FA-17,"5'9""",,,,,,McCarron,1537319403953,17,4614,WR,,,12307,12896,riley,rileymccarron,mccarron,9999999,nfl,ab9cf0fc-f4e4-4d18-8132-97e518eb14f3,702925,Inactive,,183,30808,2
2782,False,28,,,1990-06-18,,Liberty,,,2575185,17250,['DL'],Niko,Niko Davis,,#NikoDavis-NFL-FA-67,"6'5""",,,,,,Davis,,67,2782,DE,,,,,niko,nikodavis,davis,9999999,nfl,d589f707-c40d-44b2-8c44-bf78e2d222bc,,Inactive,,285,,0
4237,True,25,,,1994-10-29,,Florida State,3,LCB,3045378,19083,['DB'],Marquez,Marquez White,00-0033586,#MarquezWhite-NFL-FA-39,"6'0""",,,,,,White,1531878301459,39,4237,CB,,,12035,12418,marquez,marquezwhite,white,9999999,nfl,db4eadbd-ef43-444c-9e33-1ee781dc9965,742157,Inactive,,194,30329,2
3573,True,26,,,1993-07-22,,South Carolina,,,2577692,18349,['RB'],Brandon,Brandon Wilds,00-0032593,#BrandonWilds-NFL-FA-35,"6'0""",,,,,,Wilds,1567195556672,35,3573,RB,,,10898,11682,brandon,brandonwilds,wilds,706,nfl,abeef681-4be7-4ff3-9076-c72ec5a1b2e4,604939,Inactive,,227,29661,3
1191,True,29,,,1990-05-09,,Samford - AL,,,15086,14370,['DB'],Corey,Corey White,,#CoreyWhite-NFL-FA-38,"5'11""",,,,,Out,White,1524271501245,38,1191,CB,,,8351,,corey,coreywhite,white,9999999,nfl,ccf1d49a-deda-4254-abd2-1ee79eb34c13,459492,Inactive,,205,25872,7
1399,True,30,,,1989-01-11,,Buffalo,,,15774,14941,['P'],Jacob,Jacob Schum,,#JacobSchum-NFL-FA-10,"5'10""",,,,,,Schum,,10,1399,P,,,10142,,jacob,jacobschum,schum,9999999,nfl,cdfb58eb-2920-47d4-9c24-df5de536450e,544154,Inactive,,210,26613,6
1080,True,31,,,1988-04-27,,Cincinnati,,,14954,13896,['DL'],John,John Hughes,,#JohnHughes-NFL-FA-55,"6'2""",,,,,,Hughes,1534082406005,55,1080,DT,,,8221,,john,johnhughes,hughes,9999999,nfl,51e6e64c-7150-4588-847a-44b9ce7e0903,382267,Inactive,,320,25797,7
3756,True,25,,,1994-01-20,,San Jose State,,,2981193,18568,['LS'],Ryan,Ryan Disalvo,,#RyanDisalvo-NFL-FA-49,"6'4""",,,,,IR,Disalvo,1508894701681,49,3756,LS,,,11584,,ryan,ryandisalvo,disalvo,9999999,nfl,560dbfe1-923d-49ef-a5dd-a24b2f6b1f5d,,Injured Reserve,,253,29826,3
2874,False,28,,,1989-02-28,,Texas Tech,,,2577644,17342,['DL'],Leon,Leon Mackey,,#LeonMackey-NFL-FA-78,"6'5""",,,,,,Mackey,,78,2874,DE,,,,,leon,leonmackey,mackey,9999999,nfl,e4192fdc-8e9d-43d1-91f0-0ca77f673920,,Inactive,,260,28367,1
2383,True,26,,,1993-06-01,,Florida State,2,LCB,2977661,16839,['DB'],PJ,PJ Williams,00-0032059,#PJWilliams-NFL-NO-26,"6'0""",,,,,Sus,Williams,1574049051158,26,2383,CB,,,10409,10449,pj,pjwilliams,williams,1791,nfl,36538da8-9ac7-4f7d-beb4-8b773da4a080,,Suspended,NO,194,28466,4
6374,True,23,,,1996-04-18,,Maine,5,TE,3120540,21319,['TE'],Drew,Drew Belcher, 00-0035484,#DrewBelcher-NFL-FA-82,"6'3""",,,,,,Belcher,1568813121831,82,6374,TE,,,14041,,drew,drewbelcher,belcher,9999999,nfl,7467134f-8eb3-4fde-ac64-e2fc9f9789db,830271,Inactive,,250,32153,0
2025,True,27,,,1992-07-12,,Georgia State,1,RWR,17051,16308,['WR'],Albert,Albert Wilson,00-0030669,#AlbertWilson-NFL-MIA-15,"5'9""",,,,,,Wilson,1577058602770,15,2025,WR,,,9491,9572,albert,albertwilson,wilson,178,nfl,2958ea86-e2dc-4719-93e5-cc9d093ca963,556955,Active,MIA,202,28046,5
6160,True,22,,,1997-03-05,,UTSA,2,SILB,3914595,20958,['LB'],Josiah,Josiah Tauaefa, 00-0035016,#JosiahTauaefa-NFL-NYG-48,"6'1""",,,,,,Tauaefa,1570569903743,48,6160,ILB,,,13487,,josiah,josiahtauaefa,tauaefa,1036,nfl,18750e3f-5625-4253-ac44-61c6b8fc07d4,881829,Active,NYG,240,32241,0
1707,False,29,,,1988-05-21,,South Carolina,,,14342,15603,['P'],Spencer,Spencer Lanning,,#SpencerLanning-NFL-FA-4,"5'11""",,,,,,Lanning,,4,1707,P,,,,,spencer,spencerlanning,lanning,9999999,nfl,4ca3e1bb-6604-41df-b86f-4b07c758421c,,Inactive,,200,25150,3
3114,False,,,,,,,,,,17867,,Dean,Dean Spanos,,#DeanSpanos-NFL-FA-0,,,,,,,Spanos,,0,3114,,,,,9467,dean,deanspanos,spanos,9999999,nfl,,,Inactive,,,,0
199,True,38,,,1981-08-26,,Maryland,,,9276,5083,['LS'],Jon,Jon Condo, 00-0023177,#JonCondo-NFL-FA-46,"6'3""",,,,,,Condo,1569283535171,46,199,LS,,,7122,,jon,joncondo,condo,9999999,nfl,9c6d7765-03dd-4266-aeaa-926e5a85235f,,Inactive,,250,7455,14
2333,True,27,,,1992-02-09,,Duke,1,LG,2512477,16789,['OL'],Laken,Laken Tomlinson,00-0032234,#LakenTomlinson-NFL-SF-75,"6'3""",,,,,,Tomlinson,1567100438861,75,2333,G,,,10269,10454,laken,lakentomlinson,tomlinson,9999999,nfl,d0b7699f-5e18-4631-813d-2f709ee4b281,,Active,SF,323,28416,4
929,True,30,,,1989-07-10,,New Mexico State,,,14157,13236,['DB'],Davon,Davon House,00-0028069,#DavonHouse-NFL-FA-31,"6'0""",,,,,,House,1539104710413,31,929,CB,,,7518,6574,davon,davonhouse,house,9999999,nfl,bb6c7928-54f1-43bd-bf14-f2645644dda9,410959,Inactive,,195,24918,8
4218,True,25,,,1994-04-30,,Louisiana Tech,3,RWR,3040569,19064,['WR'],Trent,Trent Taylor,00-0033292,#TrentTaylor-NFL-SF-15,"5'8""",,Foot,Taylor has hit the injured reserve list due to surgery to repair a Jones fracture in his foot.,2019-11-24,IR,Taylor,1574627132182,15,4218,WR,,,11881,12305,trent,trenttaylor,taylor,272,nfl,3e2e74e9-18a8-4275-9437-b275db27e2ff,733849,Injured Reserve,SF,178,30290,2
2446,True,27,,,1992-03-24,,Southern Illinois,3,TE,2508256,16903,['TE'],MyCole,MyCole Pruitt,00-0031585,#MyColePruitt-NFL-TEN-85,"6'2""",,,,,,Pruitt,1577148058461,85,2446,TE,,,10251,,mycole,mycolepruitt,pruitt,522,nfl,f22b34cf-6ecf-4522-9c77-1da275dfda7d,552586,Active,TEN,251,28531,4
6333,True,22,,,1997-06-22,,South Carolina,2,RCB,4259493,21239,['DB'],Keisean,Keisean Nixon, 00-0035133,#KeiseanNixon-NFL-OAK-22,"5'10""",,,,,,Nixon,,22,6333,CB,,,13701,,keisean,keiseannixon,nixon,9999999,nfl,e94ac14d-0122-4dc8-ad20-b71226cb8cfe,,Active,OAK,200,32348,0
2653,True,27,,,1992-05-30,,None,,,2508328,17121,['TE'],Brian,Brian Parker,00-0032089,#BrianParker-NFL-FA-89,"6'4""",,,,,,Parker,1571521825824,89,2653,TE,,,10661,,brian,brianparker,parker,9999999,nfl,c5606f69-f550-4b4a-b61a-f1f71142a32f,556849,Inactive,,260,28688,4
1369,True,29,,,1990-09-10,,Wake Forest,,,15973,14891,['RB'],Tommy,Tommy Bohanon,00-0030112,#TommyBohanon-NFL-FA-48,"6'1""",,,,,,Bohanon,1567194957370,48,1369,FB,,,8987,,tommy,tommybohanon,bohanon,1982,nfl,97c96dce-9b33-4d0e-ba01-5eb629192d19,496208,Inactive,,246,26838,6
5527,True,24,,,1995-11-29,,Oklahoma State,,,3122442,20573,['DB'],Ramon,Ramon Richards,00-0034224,#RamonRichards-NFL-FA-47,"5'11""",,,,,,Richards,,47,5527,SS,,,13146,,ramon,ramonrichards,richards,9999999,nfl,cc5a9d4b-7838-470d-8c36-182e97ff161d,,Inactive,,185,31448,1
4720,True,25,,,1994-12-13,,Utah,,,3052502,19628,['DB'],Dominique,Dominique Hatfield,00-0033845,#DominiqueHatfield-NFL-CAR-36,"5'10""",,,,,,Hatfield,1573603256747,36,4720,CB,,,12317,,dominique,dominiquehatfield,hatfield,9999999,nfl,2cf86b24-50e1-4047-83cb-afd82b17aa91,733254,Practice Squad,CAR,163,30865,2
2288,False,29,,,1989-02-10,,Pittsburgh,2,LDT,15353,16725,['DL'],Chas,Chas Alecxih,,#ChasAlecxih-NFL-FA-65,"6'4""",,,,,,Alecxih,,65,2288,DT,,,8472,,chas,chasalecxih,alecxih,9999999,nfl,1fde3c16-427a-4b51-9d0c-904a5d7a3e6d,,Inactive,,304,26268,1
909,True,32,,,1987-09-01,,Boston College,2,RILB,14262,13140,['LB'],Mark,Mark Herzlich,00-0028620,#MarkHerzlich-NFL-FA-44,"6'4""",,,,,,Herzlich,1520893801859,44,909,ILB,,,7479,,mark,markherzlich,herzlich,9999999,nfl,30be69a5-f203-49dc-a354-19e4733a80da,,Inactive,,246,25509,8
4712,True,22,,,1995-02-08,,Oregon,3,LILB,3117315,19619,['LB'],Johnny,Johnny Ragin,,#JohnnyRagin-NFL-TEN-49,"6'3""",,,,,,Ragin,,49,4712,ILB,,,,,johnny,johnnyragin,ragin,9999999,nfl,746168bc-d529-4fb9-bcd1-3fe9889b0027,,Active,TEN,225,30831,0
6527,True,24,,,1995-03-04,,Florida State,,,4422420,21518,['OL'],Austin,Austin Droogsma,,#AustinDroogsma-NFL-FA-66,"6'4""",,,,,,Droogsma,,66,6527,G,,,14169,,austin,austindroogsma,droogsma,9999999,nfl,7c218b81-76f2-45a1-b4a1-ac4e7a987c6c,,Inactive,,345,32382,0
4282,True,25,,,1994-08-12,,Tennessee-Chattanooga,3,RG,2973637,19128,['OL'],Corey,Corey Levin,00-0033793,#CoreyLevin-NFL-CHI-60,"6'4""",,,,,,Levin,1575162307826,60,4282,G,,,11804,,corey,coreylevin,levin,9999999,nfl,e5266a8b-b610-4c5e-9bee-7269917ffd6f,,Active,CHI,303,30330,2
789,False,29,,,1988-03-01,,Utah State,,,14031,12711,['DB'],Curtis,Curtis Marsh,,#CurtisMarsh-NFL-FA-31,"6'0""",,,,,,Marsh,,31,789,CB,,,,,curtis,curtismarsh,marsh,9999999,nfl,4fc319fc-3b0f-4b32-a3f7-43a4d03e4e72,,Inactive,,197,24877,4
3443,True,26,,,1992-11-17,,Navy,,,2970472,18207,['RB'],Chris,Chris Swain,,#ChrisSwain-NFL-FA-31,"6'0""",,,,,,Swain,,31,3443,FB,,,11490,,chris,chrisswain,swain,9999999,nfl,1a6927a9-1a96-4441-95ce-4833350a011c,,Inactive,,242,29531,1
3364,True,25,,,1994-05-26,,Virginia,3,LCB,2979655,18125,['DB'],Maurice,Maurice Canady,00-0032438,#MauriceCanady-NFL-NYJ-37,"6'1""",,,,,,Canady,1575828032405,37,3364,CB,,,10936,,maurice,mauricecanady,canady,1173,nfl,32884cc4-ff90-42d0-b02b-f9a7df6ce6fb,693989,Active,NYJ,193,29443,3
4861,True,,,,,,UTEP,,,2980119,19761,['TE'],Kent,Kent Taylor,,#KentTaylor-NFL-FA-86,"6'6""",,,,,,Taylor,1525231801303,86,4861,TE,,,12601,,kent,kenttaylor,taylor,9999999,nfl,69443f0b-8385-4eeb-871b-cbab8f1dddf0,694628,Inactive,,240,30957,2
5076,True,23,,,1996-10-04,,null,3,RB,3915381,19957,['RB'],John,John Kelly,00-0034808,#JohnKelly-NFL-LAR-42,"5'10""",,,,,,Kelly,1574304958093,42,5076,RB,,,12555,13212,john,johnkelly,kelly,440,nfl,27156b0b-e82d-4d02-8a04-ca1891d77110,879766,Practice Squad,LAR,216,31145,1
6631,True,,,,,,North Dakota State,,,,21395,['DB'],Jalen,Jalen Allison,,#JalenAllison-NFL-FA-32,"6'0""",,,,,,Allison,,32,6631,DB,,,,,jalen,jalenallison,allison,9999999,nfl,4c4c9eb6-b7cc-41c9-b14f-92125832c8b5,,Inactive,,177,,0
3046,True,27,,,1992-07-05,,Pittsburgh,,,2513151,17759,['OL'],Matt,Matt Rotheram,,#MattRotheram-NFL-FA-61,"6'5""",,,,,Out,Rotheram,,61,3046,G,,,10834,,matt,mattrotheram,rotheram,9999999,nfl,f533b338-a3ae-4942-a69f-fc6e66f87a2c,,Inactive,,344,28933,4
6667,True,22,,,1997-05-21,,Utah,,,4243241,21552,['OL'],Jordan,Jordan Agasiva,,#JordanAgasiva-NFL-FA-66,"6'3""",,,,,,Agasiva,,66,6667,G,,,14241,,jordan,jordanagasiva,agasiva,9999999,nfl,b4565520-ee0d-4d4a-a3dd-7f8c17a9196c,,Inactive,,318,32563,0
4522,True,25,,,1994-02-01,,Rutgers,3,RWR,2982809,19398,['WR'],Carlton,Carlton Agudosi,00-0033599,#CarltonAgudosi-NFL-FA-14,"6'6""",,,,,,Agudosi,1567219258028,14,4522,WR,,,12364,,carlton,carltonagudosi,agudosi,716,nfl,9bd7ed5d-968a-40c0-8dcd-25fcc2d4d47f,696192,Inactive,,217,30482,2
1196,True,30,,,1989-02-12,,West Virginia,,,15001,14391,['DB'],Keith,Keith Tandy,00-0029422,#KeithTandy-NFL-FA-35,"5'10""",,,,,,Tandy,1543987259889,35,1196,SS,,,8318,,keith,keithtandy,tandy,9999999,nfl,e597cba3-fa90-4ce2-85e7-3e0bed1791d5,,Inactive,,200,25884,7
